@relation Twitter
@attribute Twitter numeric
@attribute body string
@attribute class {NEU,POZ,NEG}
@data
4,'Nu gan laiks gulēt (@ Laines mītne) http://t.co/XuuFZ1T5sc',NEU
5,'Ja jau neko nekas neizpalīdz tad jau jādodas mājup! :( #goodfriends',NEG
7,'es esmu tik šausmīgi dusmīga uz to ka savus mājas darbus kurus pildu visu nakti izmētāju un pēc tam kāds izmet āra un man jāpilda velreiz!',NEG
8,'šovakar cirks ar sotiem bija rēcīgs ;D:D diemžel man gadījās uzkāpt uz tiem lauciņiem kur nekas nebija jādara pārējiem gan neveicās ;D',POZ
10,'ļoti bēdīgi palika .',NEG
11,'Paldies par foršo ballīti šodien!;) (@ Meitu māja) http://t.co/1U3oOZTXj3',POZ
14,'Ir 05:09 un es svinu vēl jo projām.mans sapnis piepildījās nakts laikā braukāju pa Rīgu.:))',POZ
15,'Ļoti labi pavadīju laiku ar @SweetMadaa Ulfu un Valtu.tgd esmu godam nosvinējusi savu dzimšanas dienu.bet tas ir tikai sākums :P',POZ
19,'labrīt',NEU
20,'eju uzpipet un tad lkm guleet Ja jau visi parubijushiestad man jau nav ko citu dariit.Jaapagulj man ariilai riit speeks ;D :) 2km-mols.',NEU
22,'Airportā .',NEU
23,'Atnācu samainīt naudu (@ Olympic Voodoo Casino w/ @edgaruuuuu) http://t.co/FxSLVkCQAR',NEU
24,'esmu mājās pēc galīgi trakas nakts zl kādu laiciņu miegaina un nododos savai gultai :) #SweetDreams',POZ
25,'Sodien 3 + 1. Vinejam! Tagad no klondaikas pali maucu majas :) paldies dzeki par kompaniju. Bija fun',POZ
27,'Vel nesu aizgajis gulet :D',NEU
29,'@gachuss Viņuap 12 ķēŗa viņš bēga;)',NEU
32,'Nu kpc man nenāk miegssss?????????',NEG
33,'Ļoti daudz pagulēju.',NEU
34,'Arī izplūdušas un nesaprotamas bildes. http://t.co/1wlKJlPENy',NEU
35,'Laikam vajadzētu iet gulēt pēc tās balles!',NEU
36,'Labrīt drīz uz Talsiem. :)',POZ
38,'Labrīt:) http://t.co/82rnb1dQL2',POZ
39,'Rits ir iesacies @maris_ocha   Braucam uz kuldigu',NEU
40,'Mazais nešpetnieks :) @ gaismas pils http://t.co/SSC7I79IEj',POZ
42,'Labāk nebūtu piecēlusies. Šīs brīvdienas gribās nogulēt un piecelties tikai 2dienas rītā.',NEG
43,'Sestdiena 06:38 un esmu jau piemodies. Normāli iegājies režīms :@',NEG
44,'Meowning :) Cik jauki uz darbu taisīties kad jūties slikti :(',NEG
46,'Studentiņi ar taxīšiem prom no Vecrīgas bet es izgulējusies uz darbu. :)',POZ
47,'Jauku jums sestdienu :)',POZ
48,'Nosvinējām kārtīgi @TDAGauja iesvētību ballīti aizgājām pēdējie :) Paldies par lieliskumu mīļā @TDAGauja! :)',POZ
50,'Izloze 19:00 @PokerStarsLV kāršu komplekti tiks 5 no 86 kas RT ziņu par #LPČ2013 http://t.co/UZMy4AazbU',NEU
51,'07:08  joprojām neguļam.',NEU
52,'Esam riga. Driz brokastis.',NEU
53,'Mans brālis labākais! :3 &lt;3',POZ
55,'Uz Briseli. Un ne jau pēc kāpostiem. (@ Riga International Airport / Starptautiskā lidosta Rīga (RIX) w/ 8 others) http://t.co/W3ziBT4ebr',NEU
57,'@cooky_loreta tev Keita neipaši ?? Prieškam tad fočējies?  :-[',NEU
58,'Dikti smuka ballīte',POZ
60,'Uz Jēkabpili yolo! (@ LDZ | Rīgas centrālā dzelzceļa stacija - @vas_ldz) http://t.co/jinF3aOBVX',NEU
63,'Uzvelku vecu jaku iebāžu rokas kabatās un atrodu vairāk kā 4 Ls. Wooooow.',POZ
64,'visi guļ . man ir ļoti interesanti',NEU
66,'@Dagis100 nu jā:D',NEU
68,'Woho kas par rītu. :DDD Esmu nomodā kopš pusē 6!!!!! :D Kā man šodien iet.. :D',POZ
69,'McQueens paliek Valkā uz visu ziemas sezonu tagad pa ilgiem laikiem starppilsētu autobuss un ceļošana pa Rīgu ar @Rigassatiksme_ !',NEU
70,'Brokastu laiks',NEU
