@relation Twitter
@attribute Twitter numeric
@attribute body string
@attribute class {NEU,POZ,NEG}
@data
4,'Nu gan laiks gulēt (@ Laines mītne) url',NEU
5,'Ja jau neko nekas neizpalīdz tad jau jādodas mājup! :( #tag',NEG
7,'es esmu tik šausmīgi dusmīga uz to ka savus mājas darbus kurus pildu visu nakti izmētāju un pēc tam kāds izmet āra un man jāpilda velreiz!',NEG
8,'šovakar cirks ar sotiem bija rēcīgs ;D:D diemžel man gadījās uzkāpt uz tiem lauciņiem kur nekas nebija jādara pārējiem gan neveicās ;D',POZ
10,'ļoti bēdīgi palika .',NEG
11,'Paldies par foršo ballīti šodien!;) (@ Meitu māja) url',POZ
14,'Ir 05:09 un es svinu vēl jo projām.mans sapnis piepildījās nakts laikā braukāju pa Rīgu.:))',POZ
15,'Ļoti labi pavadīju laiku ar @user Ulfu un Valtu.tgd esmu godam nosvinējusi savu dzimšanas dienu.bet tas ir tikai sākums :P',POZ
19,'labrīt',NEU
20,'eju uzpipet un tad lkm guleet Ja jau visi parubijushiestad man jau nav ko citu dariit.Jaapagulj man ariilai riit speeks ;D :) 2km-mols.',NEU
22,'Airportā .',NEU
23,'Atnācu samainīt naudu (@ Olympic Voodoo Casino w/ @user) url',NEU
24,'esmu mājās pēc galīgi trakas nakts zl kādu laiciņu miegaina un nododos savai gultai :) #tag',POZ
25,'Sodien 3 + 1. Vinejam! Tagad no klondaikas pali maucu majas :) paldies dzeki par kompaniju. Bija fun',POZ
27,'Vel nesu aizgajis gulet :D',NEU
29,'@user Viņuap 12 ķēŗa viņš bēga;)',NEU
32,'Nu kpc man nenāk miegssss?????????',NEG
33,'Ļoti daudz pagulēju.',NEU
34,'Arī izplūdušas un nesaprotamas bildes. url',NEU
35,'Laikam vajadzētu iet gulēt pēc tās balles!',NEU
36,'Labrīt drīz uz Talsiem. :)',POZ
38,'Labrīt:) url',POZ
39,'Rits ir iesacies @user   Braucam uz kuldigu',NEU
40,'Mazais nešpetnieks :) @ gaismas pils url',POZ
42,'Labāk nebūtu piecēlusies. Šīs brīvdienas gribās nogulēt un piecelties tikai 2dienas rītā.',NEG
43,'Sestdiena 06:38 un esmu jau piemodies. Normāli iegājies režīms :@',NEG
44,'Meowning :) Cik jauki uz darbu taisīties kad jūties slikti :(',NEG
46,'Studentiņi ar taxīšiem prom no Vecrīgas bet es izgulējusies uz darbu. :)',POZ
47,'Jauku jums sestdienu :)',POZ
48,'Nosvinējām kārtīgi @user iesvētību ballīti aizgājām pēdējie :) Paldies par lieliskumu mīļā @user! :)',POZ
50,'Izloze 19:00 @user kāršu komplekti tiks 5 no 86 kas RT ziņu par #tag url',NEU
51,'07:08  joprojām neguļam.',NEU
52,'Esam riga. Driz brokastis.',NEU
53,'Mans brālis labākais! :3 &lt;3',POZ
55,'Uz Briseli. Un ne jau pēc kāpostiem. (@ Riga International Airport / Starptautiskā lidosta Rīga (RIX) w/ 8 others) url',NEU
57,'@user tev Keita neipaši ?? Prieškam tad fočējies?  :-[',NEU
58,'Dikti smuka ballīte',POZ
60,'Uz Jēkabpili yolo! (@ LDZ | Rīgas centrālā dzelzceļa stacija - @user) url',NEU
63,'Uzvelku vecu jaku iebāžu rokas kabatās un atrodu vairāk kā 4 Ls. Wooooow.',POZ
64,'visi guļ . man ir ļoti interesanti',NEU
66,'@user nu jā:D',NEU
68,'Woho kas par rītu. :DDD Esmu nomodā kopš pusē 6!!!!! :D Kā man šodien iet.. :D',POZ
69,'McQueens paliek Valkā uz visu ziemas sezonu tagad pa ilgiem laikiem starppilsētu autobuss un ceļošana pa Rīgu ar @user !',NEU
70,'Brokastu laiks',NEU
71,'Spange Bob mūltene ir īpaša - tikai tur var zem ūdens izvirst vulkāns. :D',POZ
73,'@user arī es beidzot esmu mājās! Balle galīgi izdevusies visi sajūsmā. Man nenormāls prieks. :)',POZ
74,'Traucē man te visādas pāļvecenes un pāļveči gulēt :D #tag',NEG
75,'Jo celties 6dienā pulkstens 7:30 ir normāli jāaaaa!!! #tag :DD',POZ
76,'Labrīt ;)',POZ
77,'@user @user nenāk pagaidām šogad uz basketbolu. Pagājušajā sezonā nāca max 7tk uz vienu spēli 5-6 uz daudzām',NEU
78,'@user :D ko Tu tik agri augšā? :D',NEU
79,'@user daudz laimes! : )',POZ
83,'Nenodzerties url',NEU
84,'@user Tu jau vispār kkāds dīvainis visu laiku agri celies :D un apsveicu ar vakardienas spēli ;))',POZ
85,'Milzum lielas bučas mazajam mīļajam zaķītim @user dzimšanasdienā!!! :*****',POZ
86,'@user ajjj . . . :((( veiksmi!!',NEU
89,'Labriit!! Jau pavadiita mammiite lidojumam uz Izraeelu tagad veel dazhi miega mirklji un jasak taisities uz Lapmezciema pusi! ;)))',POZ
91,'Maddara tu labak majas neradiessaprati?',NEG
92,'Uz medibamun tad vakara aši majas uz savu balliti ;D',POZ
93,'7:58 un gatava jau doties ceļā;DD  Šo dienu gaidīju ilgi ^^',POZ
98,'Labrīt.:)',POZ
99,'Lēnām jau taisos drīz jābrauc uz Bulduriem.',NEU
100,'@user :D Tu tak zini ka man tādas nav :D vne?! :D',NEU
101,'@user :D vaiiii. . . Tagad zināšu.',NEU
102,'Nedaudz nokavēju bet nu neko darīt. (@ HAVI Logistics Latvia) url',NEU
103,'Dh jau pirms 2 h piecelos un tgd Rīgā-_- #tag',NEU
105,'Sāp visas maliņas un es nevaru aizmigtt',NEG
106,'Noteikti nav nekādas saistības ar TOTO: url',NEU
109,'Labīt esmu priecīgs par sevi jo esmu pamodies.',POZ
112,'Patiesiibaa Dianas un Murenes maajas. :p (@ Valda un Diānas mājas) url',NEU
114,'Dienas domugrauds: krūtij galā krūšugals',NEU
115,'@user piektdienas vakara izvēle #tag Sasodītais sarkanais mēness" (Bungas naktī) @user . #tag"',NEU
117,'Tele2 ĻOTI mīl mani un atkal atslēdza man ienākošos un izejošos zvanus līdz ar to mani nevar sasniegt vienīgi whatsappā bet es to labošu',NEG
119,'Tikko piecēlosgaidu plkst 12:00 kad ar @user dosimies uz Jelgavu ciemoties pie @user .',NEU
120,'Ceram uz drīzu jaukās atpūtas vietas sakārtošanu un cilvēku godaprātu ::izdemolēta jaunizbūvētā ezera laipa url #tag',NEU
121,'@user Sveiciens dzimšanas dienā ;**',POZ
122,'Braucu jaunsargu ekskursijaa.',NEU
123,'Labs rīts visiem. #tag',POZ
125,'LATVIJAS TAUTAS DZIESMAS (@ Jelgavas Kultūras nams) [pic]: url',NEU
126,'Šodien jāpapilda kaut neliela daļa no tā KALNA kas ir uzdots un tad jau varēs štukot ko šovakar darīt.',NEU
127,'Nu ko laiks iet paēst un dušā',NEU
128,'Labrīt. Šodien braucu uz bāzi paņemt visas savas mantas.',NEU
130,'@user Beidzot vilcienā uztveru wifi! Ilgi nebija sanācis.Paldies!',POZ
131,'Inta Šoriņa: Bilde" gar acīm ir jāmaina url via @user #tag #tag @user"',NEU
132,'Miegs. (@ Harmsonu rezidence w/ @user) url',NEU
134,'@user piedod saulstariņ es pirmdien uz Rīgu tikai.',NEU
137,'Forshi visu nedēļu gulēt līdz 9 un sestdienā celties 6!!! Hokeja diena!',POZ
138,'pamodos brīnišķīgā noskaņojumā jo 3 brīvdienu baudīšana var sākties. jau tagad gribu pirmdienu ar mīļajiem. &lt;33',POZ
139,'Ar labunakti..',NEU
140,'Nākamās 24h būs ma?iskas.',POZ
141,'Piecas neparastas lietas ko par cilvēku pasaka viņa smaids  url',NEU
142,'Atlikušas 22 vietas. url',NEU
143,'Esmu pabeidzis savu jauno treku un pagaidām izklausās labi vēl tikai kaut kad jābrauc uz studiju maukt iekšā.',POZ
144,'Jau atkal rīts sestdienas spīts mosties labrīt :) url',POZ
147,'Garajās brīvdienās ieplāno aktivitātes visai turpmākajai  nedēļai. #tag plaša izvēle :: url',NEU
151,'Pēdējā diena... (@ Ādažu poligons) url',NEU
153,'@user Dukurs? :D',NEU
154,'Mmmnn dzeru karsto šokolādi un skatos youtubi. Perfekts sesdienas rīts.',POZ
155,'Labrīt tūlīt jau izbraucam uz natalie.',NEU
158,'esmu gatava braucam uz Akvaparku ^^',POZ
159,'Man ir kauns ja latviešu politiķi iztapīgi lien ar savu slikto krievu valodu Latvijas krievu televīzijā. url',NEG
161,'LAbrīt.',NEU
163,'@user @user izdosies! Mārtiņš vakar visiem mānījās ka sniegs sniegot un mums visapkārt bija Ziemassvētku mūzika! :)',POZ
165,'Labrīt',NEU
168,'Labrīt.',NEU
169,'@user kā es gribētu būt Gungās!! :) Lai jums labs vērtīgs smieklīgs un svētīgs laiks tur! Un izbaudiet Gungu skaistumu! Un nofočē:D',POZ
174,'Šodien treniņštikai nezin cikos un kur... ;D',POZ
178,'Labrīt. tagad laukā ar pecēm. :))',POZ
179,'Braucam uz lido paest ar @user',NEU
184,'Šodien Latvijā Mazā biznesa diena :) arī mēs @user aicinam Jūs ciemos :) Atbalsti mazos uzņēmējus @user url',POZ
186,'Mana mana māsa Anna! ',NEU
187,'Labrit;) Vēl bišķiņ un tad jau dodos prom:))',POZ
188,'Labrītinj visiem :) And buchas runchukam ;****',POZ
189,'- labrīt . ´',NEU
190,'Labrītiņ saulstariņi :) dodamies ielās un tad jau work work :) Vakarā kkas jāsadomā :))',POZ
191,'Labrīt vējainajā rītā :)',POZ
192,'Izskatas ka sobrid man neviens nevar atbildeet',NEG
194,'Šorīt jūtos kā zombijs ',NEG
199,'Labrīt.',NEU
200,'Esam Rīgā.',NEU
201,'@user ieej whatsapp lūdzu .´',NEU
202,'Kopumā par vakardienu: uz Zasu braucu caur Aknīsti :D',NEU
203,'Riebjas cilvēki kuri cenšas pierādīt pretējo lai gan nemaz nezin situāciju.',NEG
207,'Kāds shodien nevēlas uz kinīti? #tag',NEU
